來源,序號,業者代碼,國語,臺灣台語_羅馬字,臺灣台語_第二羅馬字,臺灣台語_漢字建議,臺灣台語_說明,臺灣客語_羅馬字,臺灣客語_漢字建議,臺灣客語_說明,音檔
臺灣鐵路站名,145,7350,猴硐,Kâu-tōng-á,(Kâu-tōng-á),猴洞仔,又唸作Kâu-tōng。,heuˇ tung,猴洞,,145_猴硐.mp3
臺灣鐵路站名,146,7330,三貂嶺,Sam-tiau-niá,,,,samˊ diauˊ liangˊ,,,146_三貂嶺.mp3
臺灣鐵路站名,147,7320,牡丹,Bóo-tan,,,,meuˋ danˊ,,現：meu danˊ,147_牡丹.mp3
臺灣鐵路站名,148,7310,雙溪,Siang-khe,Siang-khue,,,sungˊ haiˊ,,,148_雙溪.mp3
臺灣鐵路站名,149,7300,貢寮,Khōng-á-liâu,,槓仔寮,教典又標注為Không-á-liâu。,gung liauˇ,,,149_貢寮.mp3
臺灣鐵路站名,150,7290,福隆,Hok-liông,,,,fugˋ lungˇ,,,150_福隆.mp3
臺灣鐵路站名,151,7280,石城,Tsio̍h-siânn-á,(Tsio̍h-siânn-á),石城仔,現：Tsio̍h-siânn。,sag sangˇ,,,151_石城.mp3
臺灣鐵路站名,152,7270,大里,Tāi-lí,,,,tai liˊ,,,152_大里.mp3
臺灣鐵路站名,153,7260,大溪,Tuā-khe,Tuā-khue,,現：Tāi-khe。,tai haiˊ,,,153_大溪.mp3
臺灣鐵路站名,154,7250,龜山,Ku-suann,,,,guiˊ sanˊ,,,154_龜山.mp3
臺灣鐵路站名,155,7240,外澳,Guā-ò,(Guā-ò),,,ngoi o,,,155_外澳.mp3
臺灣鐵路站名,156,7230,頭城,Thâu-siânn,(Thâu-siânn),,,teuˇ sangˇ,,,156_頭城.mp3
臺灣鐵路站名,157,7220,頂埔,Tíng-poo,,,,dangˋ puˊ,,現：dangˋ buˊ,157_頂埔.mp3
臺灣鐵路站名,158,7210,礁溪,Ta-khe,Ta-khue,焦溪,,zeuˊ haiˊ,,,158_礁溪.mp3
臺灣鐵路站名,159,7200,四城,Sì-siânn,,,,xi sangˇ,,,159_四城.mp3
臺灣鐵路站名,160,7190,宜蘭,Gî-lân,(Gî-lân),,,ngiˇ lanˇ,,,160_宜蘭.mp3
臺灣鐵路站名,161,7180,二結,Jī-kiat,Lī-kiat,,現：Lī-kiat。,ngi giedˋ,,,161_二結.mp3
臺灣鐵路站名,162,7170,中里,Tiong-lí,,,,zungˊ liˊ,,,162_中里.mp3
臺灣鐵路站名,163,7160,羅東,Lô-tong,(Lô-tong),,現：Lô11-tong。,loˇ dungˊ,,,163_羅東.mp3
臺灣鐵路站名,164,7150,冬山,Tang-suann,,,舊稱Tang-kue-suann（冬瓜山）已不常用。,dungˊ sanˊ,,,164_冬山.mp3
臺灣鐵路站名,165,7140,新馬,Sin-má,,,現：Sin-bé；本站實為新城（Sin-siânn）與馬賽（Má-sài）二庄之合稱。,xinˊ maˊ,,,165_新馬.mp3
臺灣鐵路站名,166,7130,蘇澳新站,Soo-ò-sin-tsām,(Soo-ò-sin-tsām),,,suˊ o xinˊ zam,,,166_蘇澳新站.mp3
臺灣鐵路站名,167,7120,蘇澳,Soo-ò,(Soo-ò),,俗唸作So-ò。,suˊ o,,,167_蘇澳.mp3
臺灣鐵路站名,168,7110,永樂,Íng-lo̍k,(Íng-lo̍k),,,iunˋ log,,,168_永樂.mp3
臺灣鐵路站名,169,7100,東澳,Tang-ò,(Tang-ò),,,dungˊ o,,,169_東澳.mp3
臺灣鐵路站名,170,7090,南澳,Lâm-ò,(Lâm-ò),,,namˇ o,,,170_南澳.mp3
臺灣鐵路站名,171,7080,武塔,Bú-thah,,,,vuˋ tabˋ,,,171_武塔.mp3
臺灣鐵路站名,172,7070,漢本,Hàn-pún,,,,hon bunˋ,,,172_漢本.mp3
臺灣鐵路站名,173,7060,和平,Hô-pîng,(Hô-pîng),,,foˇ pinˇ,,,173_和平.mp3
臺灣鐵路站名,174,7050,和仁,Hô-jîn,Hô-lîn,,,foˇ inˇ,,,174_和仁.mp3
臺灣鐵路站名,175,7040,崇德,Tsông-tik,(Tsông-tik),,,cungˇ dedˋ,,,175_崇德.mp3
臺灣鐵路站名,176,7030,新城(太魯閣),Sin-siânn (Thāi-lóo-kooh),,,「太魯閣」又依日語タロコ唸作Tha-lóo-koh；戰前白話字文獻作Tāi-ló-koh。,xinˊ sangˇ (tai luˊ gogˋ ),,,176_新城(太魯閣).mp3
臺灣鐵路站名,177,7020,景美,Kíng-bí,,,,ginˋ miˊ,,,177_景美.mp3
臺灣鐵路站名,178,7010,北埔,Pak-poo,,,,bedˋ puˊ,,,178_北埔.mp3
臺灣鐵路站名,179,7000,花蓮,Hua-liân,,,原稱Hue-liân-káng(花蓮港)，戰後定名花蓮後漸變為文讀音；俗唸作Hua-lian。,faˊ lienˇ,,,179_花蓮.mp3
臺灣鐵路站名,180,6250,吉安,Kiat-an,,,,gidˋ onˊ,,,180_吉安.mp3
臺灣鐵路站名,181,6240,志學,Tsì-ha̍k,(Tsì-ha̍k),,現：Tsì-ha̍k33。,zii hog,,,181_志學.mp3
臺灣鐵路站名,182,6230,平和,Pîng-hô,(Pîng-hô),,,piangˇ foˇ,,,182_平和.mp3
臺灣鐵路站名,183,6220,壽豐,Siū-hong,,,,su fungˊ,,,183_壽豐.mp3
臺灣鐵路站名,184,6210,豐田,Hong-tiân,,,,fungˊ tienˇ,,,184_豐田.mp3
臺灣鐵路站名,185,6200,林榮新光,Lîm-îng Sin-kong,(Lîm-îng Sin-kong),,,limˇ iungˇ xinˊ gongˊ,,,185_林榮新光.mp3
臺灣鐵路站名,186,6190,南平,Lâm-pîng,(Lâm-pîng),南爿,,namˇ pinˇ,,,186_南平.mp3
臺灣鐵路站名,187,6180,鳳林,Hōng-lîm,,,,fung limˇ,,,187_鳳林.mp3
臺灣鐵路站名,188,6170,萬榮,Bān-îng,,,,van iungˇ,,,188_萬榮.mp3
臺灣鐵路站名,189,6160,光復,Kong-ho̍k,(Kong-ho̍k),,,gongˊ fug,,,189_光復.mp3
臺灣鐵路站名,190,6150,大富,Tāi-hô,(Tāi-hô),大和,現：Tuā-hù；今依田調及教典修正。阿美族語播音亦唸稱Yamato（日語：大和）。,tai foˇ,大和,現：tai fu；此地原為日治設立之大和村，現分為大富、大豐2村。,190_大富.mp3
臺灣鐵路站名,191,6140,富源,Hù-guân,,,,fu ngienˇ,,,191_富源.mp3
